Make,Type,Model Type,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
Hyundai,Domestic,PC,Accent (RB),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Hyundai,Domestic,PC,Avante (AD),2638.0,2575.0,3886.0,802.0,413.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,10346.0,2020
Hyundai,Domestic,PC,Avante (CN7),0.0,0.0,0.0,7447.0,8969.0,10844.0,11036.0,5751.0,8241.0,7454.0,6713.0,7605.0,74060.0,2020
Hyundai,Domestic,PC,Avante (CN7 HEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,895.0,862.0,764.0,763.0,3325.0,2020
Hyundai,Domestic,PC,IONIQ (AE HEV),162.0,83.0,393.0,421.0,97.0,127.0,87.0,75.0,67.0,131.0,419.0,10.0,2072.0,2020
Hyundai,Domestic,PC,IONIQ (AE PHEV),0.0,1.0,16.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2020
Hyundai,Domestic,PC,IONIQ (AE EV),2.0,104.0,276.0,121.0,83.0,152.0,181.0,189.0,166.0,103.0,121.0,11.0,1509.0,2020
Hyundai,Domestic,PC,i30 (PD),30.0,32.0,67.0,45.0,45.0,59.0,48.0,66.0,70.0,37.0,2.0,-1.0,500.0,2020
Hyundai,Domestic,PC,Veloster (JS),31.0,88.0,101.0,116.0,142.0,174.0,79.0,58.0,86.0,78.0,0.0,0.0,953.0,2020
Hyundai,Domestic,PC,Veloster (JS N),55.0,52.0,88.0,112.0,85.0,267.0,183.0,37.0,212.0,129.0,99.0,69.0,1388.0,2020
Hyundai,Domestic,PC,Sonata (LF),1668.0,1783.0,1729.0,1451.0,1597.0,1875.0,1644.0,1447.0,1515.0,1742.0,1507.0,1415.0,19373.0,2020
Hyundai,Domestic,PC,Sonata (HEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Hyundai,Domestic,PC,Sonata (PHEV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
Hyundai,Domestic,PC,Sonata (DN8),3743.0,3044.0,4804.0,3341.0,2924.0,5123.0,2942.0,2604.0,2385.0,3333.0,2433.0,2182.0,38858.0,2020
Hyundai,Domestic,PC,Sonata (DN8 HEV),1012.0,195.0,720.0,593.0,1306.0,1065.0,627.0,544.0,689.0,595.0,1098.0,765.0,9209.0,2020
Hyundai,Domestic,PC,i40 (VF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
