Make,Type,Model type,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
KIA,Domestic,,Morning,3103.0,3310.0,4126.0,2960.0,3452.0,3260.0,3949.0,3606.0,2437.0,2593.0,3032.0,2938.0,38766.0,2020
KIA,Domestic,,Ray,2146.0,1220.0,2631.0,2212.0,2405.0,2670.0,2540.0,2518.0,2294.0,2501.0,2759.0,2634.0,28530.0,2020
KIA,Domestic,,Pride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
KIA,Domestic,,K3,1800.0,957.0,3509.0,2609.0,2029.0,2879.0,1487.0,1631.0,1693.0,1504.0,1947.0,1392.0,23437.0,2020
KIA,Domestic,,K5,8048.0,4349.0,8193.0,7953.0,8136.0,10145.0,8463.0,3944.0,7485.0,5459.0,7343.0,5032.0,84550.0,2020
KIA,Domestic,,Stinger,157.0,194.0,387.0,189.0,164.0,305.0,279.0,195.0,466.0,480.0,366.0,343.0,3525.0,2020
KIA,Domestic,,K7,3939.0,2851.0,5045.0,4772.0,4464.0,5652.0,2715.0,2172.0,2344.0,1844.0,3253.0,1997.0,41048.0,2020
KIA,Domestic,,K9,612.0,671.0,861.0,545.0,601.0,855.0,790.0,579.0,556.0,567.0,572.0,622.0,7831.0,2020
KIA,Domestic,,Stonic,299.0,289.0,486.0,357.0,394.0,502.0,313.0,355.0,258.0,217.0,341.0,360.0,4171.0,2020
KIA,Domestic,,Seltos,3508.0,2869.0,6035.0,5597.0,5604.0,5536.0,3966.0,3277.0,3882.0,3344.0,3547.0,2316.0,49481.0,2020
KIA,Domestic,,Soul,79.0,51.0,113.0,120.0,183.0,166.0,83.0,69.0,74.0,75.0,109.0,142.0,1264.0,2020
KIA,Domestic,,Niro,1141.0,1935.0,2279.0,2300.0,2227.0,2272.0,1418.0,1498.0,1661.0,1334.0,1888.0,1286.0,21239.0,2020
KIA,Domestic,,Sportage,1175.0,1165.0,1615.0,1749.0,1509.0,2455.0,1272.0,1472.0,1263.0,1425.0,1658.0,1667.0,18425.0,2020
KIA,Domestic,,Sorento,1830.0,1998.0,3875.0,9270.0,9298.0,11596.0,9488.0,6116.0,9151.0,7261.0,7009.0,5383.0,82275.0,2020
KIA,Domestic,,Mohave,1428.0,621.0,2549.0,2143.0,1719.0,2548.0,1632.0,1361.0,1288.0,1370.0,1671.0,1268.0,19598.0,2020
KIA,Domestic,,New Carens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
KIA,Domestic,,Carnival,3352.0,2510.0,3179.0,2063.0,2941.0,3286.0,2119.0,5622.0,10130.0,12093.0,9823.0,7077.0,64195.0,2020
KIA,Domestic,Truck,BongoⅢ (Truck),4319.0,3584.0,6014.0,5412.0,5958.0,5657.0,6251.0,3996.0,6013.0,5883.0,5053.0,3766.0,61906.0,2020
KIA,Domestic,,Bus,106.0,61.0,86.0,63.0,70.0,85.0,49.0,30.0,23.0,31.0,25.0,29.0,658.0,2020
KIA,Domestic,,Military,8.0,46.0,25.0,47.0,28.0,136.0,236.0,22.0,193.0,28.0,127.0,605.0,1501.0,2020
KIA,Export,,Morning / Picanto,9786.0,4115.0,11959.0,5708.0,5284.0,7143.0,6569.0,6929.0,8119.0,10184.0,10443.0,9442.0,95681.0,2020
KIA,Export,,Pride / Rio,5007.0,2784.0,6101.0,2305.0,1680.0,3341.0,4286.0,4088.0,3798.0,4001.0,4521.0,3677.0,45589.0,2020
KIA,Export,,K3,1433.0,1986.0,4240.0,1160.0,1103.0,2438.0,2477.0,2006.0,3607.0,2895.0,3006.0,1456.0,27807.0,2020
KIA,Export,,K5 / Optima,5.0,666.0,3419.0,1791.0,58.0,1139.0,1929.0,3622.0,4137.0,3697.0,4626.0,2533.0,27622.0,2020
KIA,Export,,Stinger,862.0,475.0,1722.0,515.0,118.0,775.0,1335.0,1797.0,1368.0,1453.0,1447.0,985.0,12852.0,2020
KIA,Export,,K7 / Cadenza,248.0,218.0,135.0,121.0,130.0,18.0,243.0,160.0,185.0,331.0,220.0,126.0,2135.0,2020
KIA,Export,,K9,5.0,8.0,44.0,28.0,33.0,0.0,10.0,15.0,0.0,0.0,1.0,1.0,145.0,2020
KIA,Export,,Stonic,4223.0,1744.0,4968.0,3652.0,2182.0,4376.0,4198.0,4746.0,5075.0,6022.0,7352.0,5350.0,53888.0,2020
KIA,Export,,Seltos,5019.0,5184.0,7270.0,4333.0,5360.0,9585.0,10799.0,8288.0,11096.0,11540.0,9034.0,5834.0,93342.0,2020
KIA,Export,,Soul,7466.0,7742.0,10449.0,5531.0,3980.0,4798.0,8111.0,5305.0,9095.0,8739.0,7398.0,5307.0,83921.0,2020
KIA,Export,,Niro,5716.0,7259.0,11265.0,8872.0,9677.0,10297.0,10907.0,7566.0,11268.0,11950.0,11442.0,8788.0,115007.0,2020
KIA,Export,,Sportage,8391.0,7336.0,11574.0,4930.0,4666.0,8124.0,9876.0,9008.0,12833.0,11685.0,10555.0,7174.0,106152.0,2020
KIA,Export,,Sorento,2344.0,5791.0,1831.0,191.0,21.0,1100.0,5572.0,3009.0,2807.0,5563.0,5175.0,3428.0,36832.0,2020
KIA,Export,,Mohave / Borrego,0.0,0.0,0.0,7.0,0.0,0.0,108.0,108.0,108.0,72.0,72.0,180.0,655.0,2020
KIA,Export,,New Carens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
KIA,Export,,Carnival / Sedona,1704.0,865.0,2984.0,2058.0,1867.0,4263.0,2625.0,155.0,165.0,338.0,934.0,1446.0,19404.0,2020
KIA,Export,Truck,BongoⅢ (Truck),3805.0,1453.0,2438.0,1988.0,1341.0,1503.0,1255.0,2189.0,3517.0,3030.0,2774.0,1653.0,26946.0,2020
KIA,Export,,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020
KIA,Export,,Military,186.0,74.0,1.0,10.0,0.0,100.0,0.0,9.0,22.0,0.0,0.0,120.0,522.0,2020
KIA,Domestic,,Morning,2578.0,2691.0,3480.0,3348.0,2967.0,3349.0,2767.0,1782.0,1937.0,1369.0,1941.0,2321.0,30530.0,2021
KIA,Domestic,,Ray,2646.0,2266.0,2967.0,3808.0,3608.0,3223.0,3325.0,1814.0,3030.0,3399.0,3028.0,2842.0,35956.0,2021
KIA,Domestic,,Pride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
KIA,Domestic,,K3,1346.0,1378.0,1823.0,2491.0,3147.0,3042.0,3147.0,1829.0,2130.0,1526.0,2342.0,2204.0,26405.0,2021
KIA,Domestic,,K5,5440.0,5547.0,6882.0,6607.0,6034.0,5835.0,5777.0,4368.0,1998.0,1936.0,4483.0,4592.0,59499.0,2021
KIA,Domestic,,Stinger,279.0,378.0,312.0,364.0,252.0,269.0,277.0,203.0,127.0,240.0,241.0,225.0,3167.0,2021
KIA,Domestic,,K7 / K8,1709.0,1528.0,2474.0,5017.0,5565.0,5473.0,6008.0,3170.0,3188.0,4181.0,4417.0,4011.0,46741.0,2021
KIA,Domestic,,K9,433.0,435.0,450.0,412.0,504.0,614.0,798.0,672.0,559.0,546.0,453.0,329.0,6205.0,2021
KIA,Domestic,,Stonic,216.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,348.0,2021
KIA,Domestic,,Seltos,3982.0,3585.0,3648.0,3491.0,3175.0,4071.0,3152.0,2724.0,2630.0,2429.0,3012.0,4191.0,40090.0,2021
KIA,Domestic,,Soul,90.0,71.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,2021
KIA,Domestic,,Niro,764.0,1070.0,1483.0,1318.0,1741.0,2312.0,1502.0,1900.0,1765.0,1896.0,1438.0,1315.0,18504.0,2021
KIA,Domestic,,EV6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1910.0,2654.0,2762.0,2202.0,1495.0,,2021
KIA,Domestic,,Sportage,1143.0,1366.0,787.0,1167.0,836.0,1187.0,3079.0,6571.0,4386.0,4258.0,7540.0,7442.0,39762.0,2021
KIA,Domestic,,Sorento,7480.0,4945.0,8357.0,6228.0,6883.0,6081.0,6339.0,3974.0,3820.0,5363.0,4903.0,5561.0,69934.0,2021
KIA,Domestic,,Mohave,896.0,975.0,1189.0,1333.0,1243.0,932.0,971.0,665.0,528.0,588.0,529.0,1020.0,10869.0,2021
KIA,Domestic,,New Carens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
KIA,Domestic,,Carnival,8043.0,6153.0,9520.0,8670.0,7219.0,6689.0,5632.0,5611.0,3437.0,3515.0,3395.0,5619.0,73503.0,2021
KIA,Domestic,,BongoⅢ (Truck),4330.0,4918.0,7491.0,6697.0,4586.0,5929.0,5163.0,3609.0,3467.0,3515.0,5916.0,4108.0,59729.0,2021
KIA,Domestic,,Bus,31.0,31.0,37.0,39.0,30.0,52.0,47.0,17.0,16.0,41.0,69.0,68.0,478.0,2021
KIA,Domestic,,Military,75.0,114.0,107.0,138.0,111.0,222.0,176.0,184.0,130.0,273.0,133.0,445.0,2108.0,2021
KIA,Export,,Morning / Picanto,8149.0,6465.0,8257.0,10078.0,8084.0,9379.0,12390.0,7850.0,9934.0,12078.0,8447.0,13340.0,114451.0,2021
KIA,Export,,Pride / Rio,4520.0,3702.0,5536.0,5826.0,4364.0,4197.0,3661.0,3022.0,3638.0,3065.0,4006.0,3620.0,49157.0,2021
KIA,Export,,K3,2181.0,2455.0,3848.0,3350.0,2127.0,3796.0,4091.0,2378.0,1675.0,1866.0,3222.0,2785.0,33774.0,2021
KIA,Export,,K5 / Optima,3258.0,3355.0,3685.0,3620.0,2877.0,3113.0,3221.0,1313.0,770.0,1010.0,1356.0,2100.0,29678.0,2021
KIA,Export,,Stinger,1212.0,1502.0,1543.0,2093.0,1287.0,1368.0,1454.0,1343.0,1044.0,801.0,1603.0,1757.0,17007.0,2021
