Make,Type,Model Type,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
Hyundai,Domestic,PC,Accent (RB),0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Hyundai,Domestic,PC,Avante (AD),2638,2575,3886,802,413,31,1,0,0,0,0,0,10346,2020
Hyundai,Domestic,PC,Avante (CN7),0,0,0,7447,8969,10844,11036,5751,8241,7454,6713,7605,74060,2020
Hyundai,Domestic,PC,Avante (CN7 HEV),0,0,0,0,0,0,0,41,895,862,764,763,3325,2020
Hyundai,Domestic,PC,IONIQ (AE HEV),162,83,393,421,97,127,87,75,67,131,419,10,2072,2020
Hyundai,Domestic,PC,IONIQ (AE PHEV),0,1,16,13,3,1,0,0,0,0,0,0,34,2020
Hyundai,Domestic,PC,IONIQ (AE EV),2,104,276,121,83,152,181,189,166,103,121,11,1509,2020
Hyundai,Domestic,PC,i30 (PD),30,32,67,45,45,59,48,66,70,37,2,-1,500,2020
Hyundai,Domestic,PC,Veloster (JS),31,88,101,116,142,174,79,58,86,78,0,0,953,2020
Hyundai,Domestic,PC,Veloster (JS N),55,52,88,112,85,267,183,37,212,129,99,69,1388,2020
Hyundai,Domestic,PC,Sonata (LF),1668,1783,1729,1451,1597,1875,1644,1447,1515,1742,1507,1415,19373,2020
Hyundai,Domestic,PC,Sonata (HEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Hyundai,Domestic,PC,Sonata (PHEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Hyundai,Domestic,PC,Sonata (DN8),3743,3044,4804,3341,2924,5123,2942,2604,2385,3333,2433,2182,38858,2020
Hyundai,Domestic,PC,Sonata (DN8 HEV),1012,195,720,593,1306,1065,627,544,689,595,1098,765,9209,2020
Hyundai,Domestic,PC,i40 (VF),0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Hyundai,Domestic,PC,Grandeur (IG),6883,6708,13568,11566,10343,11651,10763,7019,7372,6735,8142,5724,106474,2020
Hyundai,Domestic,PC,Grandeur (HEV),2467,842,3032,3434,3073,4037,3618,3216,4218,4191,3506,3355,38989,2020
Hyundai,Domestic,PC,G70,637,549,1109,826,613,981,489,448,451,233,350,1224,7910,2020
Hyundai,Domestic,PC,G80,1186,783,617,259,66,16,40,0,0,0,0,0,2967,2020
Hyundai,Domestic,PC,G80 (RG3),0,0,0,4157,7516,7889,6464,4100,6040,5268,5019,6730,53183,2020
Hyundai,Domestic,PC,G90,830,683,1209,651,601,701,1117,704,882,915,925,791,10009,2020
Hyundai,Domestic,RV,Venue,1710,584,2121,1974,1325,2175,1554,1029,1575,1015,1189,1475,17726,2020
Hyundai,Domestic,RV,Kona,1372,1177,2918,2116,1416,1776,1503,533,1541,1154,1330,1054,17890,2020
Hyundai,Domestic,RV,Kona (HEV),428,69,697,940,966,563,420,171,515,188,511,478,5946,2020
Hyundai,Domestic,RV,Kona (EV),35,213,1391,1232,531,737,999,870,1053,451,376,178,8066,2020
Hyundai,Domestic,RV,Tucson (TL),1766,1534,2612,1718,2353,3115,1686,1664,2191,2221,1276,43,22179,2020
Hyundai,Domestic,RV,Tucson (NX4),0,0,0,0,0,0,0,0,5,472,3231,3651,7359,2020
Hyundai,Domestic,RV,Tucson (NX4 HEV),0,0,0,0,0,0,0,0,0,370,2983,3253,6606,2020
Hyundai,Domestic,RV,NEXO(FE),81,443,706,795,270,317,700,675,461,640,365,333,5786,2020
Hyundai,Domestic,RV,Santa-Fe (TM),3204,2978,5788,3468,5765,4901,6252,6224,4520,4003,5157,5318,57578,2020
Hyundai,Domestic,RV,Palisade (LX2),5173,2618,6293,5873,4177,6895,6071,4433,5069,6514,5706,5969,64791,2020
Hyundai,Domestic,RV,GV70 (JK),0,0,0,0,0,0,0,0,0,0,15,83,,2020
Hyundai,Domestic,RV,GV80 (JX),347,1176,3268,4324,4164,3728,3009,1810,2918,2743,3258,3472,34217,2020
Hyundai,Domestic,CV,LCV,10128,9143,12071,10645,9567,12050,13647,9069,11815,11777,11109,10363,131384,2020
Hyundai,Domestic,CV,HCV,2003,1833,2700,2602,2400,2450,2221,1813,2128,2315,2431,2173,27069,2020
Hyundai,Export,PC,Avante (CN7),1,5,3,1,3,7,594,2183,7481,13652,13369,11394,48693,2020
Hyundai,Export,PC,Avante HEV (CN7),0,0,1,0,2,0,0,0,16,0,0,543,562,2020
Hyundai,Export,PC,Avante (AD),10191,7269,11577,5980,6615,6048,5010,203,1,27,15,0,52936,2020
Hyundai,Export,PC,IONIQ (AE HEV),4427,1545,2945,1149,2285,2964,2003,1956,2595,3171,1955,2258,29253,2020
Hyundai,Export,PC,IONIQ (AE PHEV),475,596,985,663,659,1017,920,526,682,766,587,408,8284,2020
Hyundai,Export,PC,IONIQ (AE EV),1403,1056,1749,1131,1093,1011,824,939,520,852,910,887,12375,2020
Hyundai,Export,PC,i30 (PD),2372,1472,2803,1087,1446,1090,1529,1314,2099,1649,2667,1608,21136,2020
Hyundai,Export,PC,Veloster (JS),655,29,722,308,17,578,5,0,0,0,0,0,2314,2020
Hyundai,Export,PC,Veloster (JS N),154,15,444,100,76,336,37,31,262,272,269,279,2275,2020
Hyundai,Export,PC,Coupe (BK),0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Hyundai,Export,PC,Sonata (LF),0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Hyundai,Export,PC,Sonata (HEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Hyundai,Export,PC,Sonata (PHEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Hyundai,Export,PC,Sonata (DN8),3355,1527,2274,1071,582,101,286,278,423,1565,987,1071,13520,2020
Hyundai,Export,PC,Sonata (DN8 HEV),0,152,753,722,989,868,1598,1229,1192,1809,1210,1477,11999,2020
Hyundai,Export,PC,i40 (VF),0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Hyundai,Export,PC,Grandeur (IG),0,1,280,495,110,148,145,500,183,805,426,306,3399,2020
Hyundai,Export,PC,Grandeur (HEV),0,0,0,0,0,0,0,0,0,0,0,0,0,2020
Hyundai,Export,PC,G70,885,87,1269,281,83,67,993,859,1367,1548,733,166,8338,2020
Hyundai,Export,PC,G80,172,77,0,10,0,0,0,0,0,0,0,0,259,2020
Hyundai,Export,PC,G80 (RG3),0,15,0,4,10,0,2,18,31,1861,2156,137,4234,2020
Hyundai,Export,PC,G90,121,252,125,306,31,135,51,341,319,255,271,67,2274,2020
Hyundai,Export,RV,Venue,3397,1863,3137,1014,1449,2148,3338,3939,4067,4961,4700,4566,38579,2020
Hyundai,Export,RV,Kona,15392,8090,17262,9920,5441,15498,19461,6851,16354,18184,17655,16303,166411,2020
Hyundai,Export,RV,Kona (HEV),2606,1840,3201,1740,2448,3285,3490,1113,1761,2694,3145,2677,30000,2020
Hyundai,Export,RV,Kona (EV),3321,2066,3662,3486,4321,5627,5555,1582,5997,5767,3718,3561,48663,2020
Hyundai,Export,RV,NE,0,0,0,0,0,0,0,0,0,0,0,4,,2020
Hyundai,Export,RV,Tucson (TL),14964,13026,20065,5358,3106,11645,21385,16225,15643,16529,14470,12117,164533,2020
Hyundai,Export,RV,Tucson (NX4),0,0,1,0,0,0,3,0,12,0,0,5,21,2020
